Mod:Item:MetaData, Localized Name
enderio:blockDecoration1:14, Broken Spawner (decoration block)
enderio:blockDecoration1:15, Invisible Block (decoration block)
enderio:blockDecoration2:0, Alloy Smelter (decoration block)
enderio:blockDecoration2:1, Item Buffer (decoration block)
enderio:blockDecoration2:2, Power Buffer (decoration block)
enderio:blockDecoration2:3, Omni Buffer (decoration block)
enderio:blockDecoration2:4, Creative Buffer (decoration block)
enderio:blockDecoration2:5, Crafter (decoration block)
enderio:blockDecoration2:6, Painting Machine (decoration block)
enderio:blockDecoration2:7, Power Monitor (decoration block)
enderio:blockDecoration2:8, SAG Mill (decoration block)
enderio:blockDecoration2:9, Slice'N'Splice (decoration block)
enderio:blockDecoration2:10, Stirling Generator (decoration block)
enderio:blockDecoration2:11, Fluid Tank (decoration block)
enderio:blockDecoration2:12, Pressurized Fluid Tank (decoration block)
enderio:blockDecoration2:13, Travel Anchor (decoration block)
enderio:blockDecoration2:14, Vacuum Chest (decoration block)
enderio:blockDecoration2:15, Wireless Charger (decoration block)
enderio:blockPainter, Painting Machine
enderio:blockPaintedSlab, Painted Slab
enderio:blockPaintedStoneSlab, Painted Stone Slab
enderio:blockPaintedPressurePlate:1, Wooden Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:3, Stone Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:5, Weighted Pressure Plate (Heavy) (Silent)
enderio:blockPaintedPressurePlate:7, Weighted Pressure Plate (Light) (Silent)
enderio:blockPaintedPressurePlate:8, Dark Pressure Plate
enderio:blockPaintedPressurePlate:9, Dark Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:10, Soularium Pressure Plate
enderio:blockPaintedPressurePlate:11, Soularium Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:12, Soularium Pressure Plate (Tuned)
enderio:blockPaintedPressurePlate:13, Soularium Pressure Plate (Tuned) (Silent)
enderio:blockExitRail, Exit Rail
enderio:itemConduitProbe:0, Conduit Probe
enderio:itemYetaWrench, Yeta Wrench
enderio:itemXpTransfer:0, Experience Rod
enderio:itemColdFireIgniter, Cold Fire Igniter
enderio:blockTravelAnchor, Travel Anchor
enderio:blockTelePad, Telepad Block
enderio:blockDialingDevice, Dialing Device
enderio:itemCoordSelector, Coordinate Selector
enderio:itemLocationPrintout, Location Printout
enderio:itemTravelStaff:0, Staff of Traveling
enderio:itemTravelStaff:0, Staff of Traveling
enderio:itemRodOfReturn:0, Rod of Return
enderio:itemRodOfReturn:0, Rod of Return
enderio:blockEndermanSkull:0, Enderman Head
enderio:blockEndermanSkull:2, Tormented Enderman Head
enderio:itemFrankenSkull:0, Zombie Electrode
enderio:itemFrankenSkull:1, Z-Logic Controller
enderio:itemFrankenSkull:2, Frank'N'Zombie
enderio:itemFrankenSkull:3, Ender Resonator
enderio:itemFrankenSkull:4, Sentient Ender
enderio:itemFrankenSkull:5, Skeletal Contractor
enderio:itemEnderFood:0, "Enderios"
enderio:blockGauge, RF Gauge
enderio:itemRemoteInvAccess:0, Inventory Panel Remote
enderio:itemRemoteInvAccess:0, Inventory Panel Remote
enderio:itemRemoteInvAccess:1, Advanced Inventory Panel Remote
enderio:itemRemoteInvAccess:1, Advanced Inventory Panel Remote
enderio:itemRemoteInvAccess:2, Ender Inventory Panel Remote
enderio:itemRemoteInvAccess:2, Ender Inventory Panel Remote
enderio:blockInventoryPanelSensor, Inventory Sensor
enderio:blockFusedQuartz:0, Fused Quartz
enderio:blockFusedQuartz:1, Quite Clear Glass
enderio:blockFusedQuartz:2, Enlightened Fused Quartz
enderio:blockFusedQuartz:3, Enlightened Clear Glass
enderio:blockFusedQuartz:4, Dark Fused Quartz
enderio:blockFusedQuartz:5, Dark Clear Glass
enderio:blockFusedQuartz_fusedQuartz:1, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:2, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:3, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:4, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:5, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:6, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:7, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:8, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:9, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:10, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:11, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:12, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:13, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:14, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:15, Fused Quartz
enderio:blockFusedQuartz_fusedGlass:1, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:2, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:3, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:4, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:5, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:6, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:7, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:8, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:9, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:10, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:11, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:12, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:13, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:14, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:15, Quite Clear Glass
enderio:blockFusedQuartz_enlightenedFusedQuartz:1, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:2, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:3, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:4, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:5, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:6, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:7, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:8, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:9, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:10, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:11, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:12, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:13, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:14, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:15, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedGlass:1, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:2, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:3, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:4, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:5, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:6, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:7, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:8, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:9, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:10, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:11, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:12, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:13, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:14, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:15, Enlightened Clear Glass
enderio:blockFusedQuartz_darkFusedQuartz:1, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:2, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:3, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:4, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:5, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:6, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:7, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:8, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:9, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:10, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:11, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:12, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:13, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:14, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:15, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedGlass:1, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:2, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:3, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:4, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:5, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:6, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:7, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:8, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:9, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:10, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:11, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:12, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:13, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:14, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:15, Dark Clear Glass
enderio:itemSoulVessel, Soul Vial
enderio:block_detector_block:0, Block Detector
enderio:block_detector_block_silent:0, Block Detector (Silent)
enderio:itemGliderWing:0, Glider Wing
enderio:itemGliderWing:1, Glider Wings
enderio:darkSteel_helmet, Dark Helm
enderio:darkSteel_chestplate, Dark Plate
enderio:darkSteel_leggings, Dark Leggings
enderio:darkSteel_boots, Dark Boots
enderio:darkSteel_sword, The Ender
enderio:darkSteel_pickaxe, Dark Pick
enderio:darkSteel_axe, Dark Axe
enderio:darkSteelBow, Dark Bow
enderio:darkSteel_shears, Dark Shears
enderio:itemMagnet:0, Electromagnet
enderio:itemMagnet:0, Electromagnet
extracells:part.base:0, ME Fluid Export Bus
extracells:part.base:1, ME Fluid Import Bus
extracells:part.base:2, ME Fluid Storage Bus
extracells:part.base:3, ME Fluid Terminal
extracells:part.base:4, ME Fluid Level Emitter
extracells:part.base:5, ME Fluid Annihilation Plane
extracells:part.base:6, ME Fluid Formation Plane
extracells:part.base:7, ME Drive Fixture
extracells:part.base:8, ME Energy Cell Fixture
extracells:part.base:9, ME Fluid Interface
extracells:part.base:10, ME Fluid Storage Monitor
extracells:part.base:11, ME Fluid Conversion Monitor
extracells:part.base:12, ME Ore Dictionary Export Bus
extracells:part.base:13, ME Gas Import Bus
extracells:part.base:14, ME Gas Export Bus
extracells:part.base:15, ME Gas Terminal
extracells:part.base:16, ME Gas Storage Bus
extracells:part.base:17, ME Gas Level Emitter
extracells:part.base:18, ME Gas Storage Monitor
extracells:part.base:19, ME Gas Conversion Monitor
extracells:storage.fluid:0, ME 1k Fluid Storage Cell
extracells:storage.fluid:1, ME 4k Fluid Storage Cell
extracells:storage.fluid:2, ME 16k Fluid Storage Cell
extracells:storage.fluid:3, ME 64k Fluid Storage Cell
extracells:storage.fluid:4, ME 256k Fluid Storage Cell
extracells:storage.fluid:5, ME 1024k Fluid Storage Cell
extracells:storage.fluid:6, ME 4096k Fluid Storage Cell
extracells:storage.physical:0, ME 256k Storage Cell
extracells:storage.physical:1, ME 1024k Storage Cell
extracells:storage.physical:2, ME 4096k Storage Cell
extracells:storage.physical:3, ME 16384k Storage Cell
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.gas:0, ME 1k Gas Storage Cell
extracells:storage.gas:1, ME 4k Gas Storage Cell
extracells:storage.gas:2, ME 16k Gas Storage Cell
extracells:storage.gas:3, ME 64k Gas Storage Cell
extracells:storage.gas:4, ME 256k Gas Storage Cell
extracells:storage.gas:5, ME 1024k Gas Storage Cell
extracells:storage.gas:6, ME 4096k Gas Storage Cell
extracells:pattern.fluid:0, ME Fluid Pattern
extracells:pattern.fluid:0, ME Fluid Pattern: Resonant Ender
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Destabilized Redstone
extracells:pattern.fluid:0, ME Fluid Pattern: Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Hootch
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Gelid Cryotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Mushroom Soup
extracells:pattern.fluid:0, ME Fluid Pattern: Fluid Yellorium
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquifacted Coal
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Chocolate Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Naphtha
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfur Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Fluid Cyanite
extracells:pattern.fluid:0, ME Fluid Pattern: Fire Water
extracells:pattern.fluid:0, ME Fluid Pattern: Tree Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrogen Chloride
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Crude Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Cloud Seed
extracells:pattern.fluid:0, ME Fluid Pattern: Water
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Syrup
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid D-T Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Primal Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Dew of the Void
extracells:pattern.fluid:0, ME Fluid Pattern: Rocket Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Concentrated Cloud Seed
extracells:pattern.fluid:0, ME Fluid Pattern: Energized Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: fluid.fuelcolumn
extracells:pattern.fluid:0, ME Fluid Pattern: Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Tectonic Petrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Spring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Blazing Pyrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Nutrient Distillation
extracells:pattern.fluid:0, ME Fluid Pattern: Zephyrean Aerotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Vapor of Levity
extracells:pattern.fluid:0, ME Fluid Pattern: Brine
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Sludge
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfur Trioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid XP
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sunshine
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Pink Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Quicksand
extracells:pattern.fluid:0, ME Fluid Pattern: BioFuel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Chlorine
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Ethylene
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Sewage
extracells:terminal.fluid.wireless, item.extracells.terminal.fluid.wireless.name
extracells:storage.component:0, 256k ME Storage Component
extracells:storage.component:1, 1024k ME Storage Component
extracells:storage.component:2, 4096k ME Storage Component
extracells:storage.component:3, 16384k ME Storage Component
extracells:storage.component:4, 1k ME Fluid Storage Component
extracells:storage.component:5, 4k ME Fluid Storage Component
extracells:storage.component:6, 16k ME Fluid Storage Component
extracells:storage.component:7, 64k ME Fluid Storage Component
extracells:storage.component:8, 256k ME Fluid Storage Component
extracells:storage.component:9, 1024k ME Fluid Storage Component
extracells:storage.component:10, 4096k ME Fluid Storage Component
extracells:storage.component:11, 1k ME Gas Storage Component
extracells:storage.component:12, 4k ME Gas Storage Component
extracells:storage.component:13, 16k ME Gas Storage Component
extracells:storage.component:14, 64k ME Gas Storage Component
extracells:storage.component:15, 256k ME Gas Storage Component
extracells:storage.component:16, 1024k ME Gas Storage Component
extracells:storage.component:17, 4096k ME Gas Storage Component
extracells:storage.casing:0, Advanced Storage Housing
extracells:storage.casing:1, Fluid Storage Housing
extracells:storage.casing:2, Gas Storage Housing
extracells:fluid.item, item.extracells.fluid.item.name
extracells:storage.fluid.portable, item.extracells.storage.fluid.portable.name
extracells:storage.gas.portable, item.extracells.storage.gas.portable.name
extracells:pattern.crafting, item.extracells.pattern.crafting.name
extracells:terminal.universal.wireless, item.extracells.terminal.universal.wireless.name
extracells:terminal.gas.wireless, item.extracells.terminal.gas.wireless.name
extracells:oc.upgrade:2, ME Upgrade (Tier 1)
extracells:oc.upgrade:1, ME Upgrade (Tier 2)
extracells:oc.upgrade:0, ME Upgrade (Tier 3)
extracells:certustank, extracells.block.certustank.name
extracells:walrus, Walrus
extracells:fluidcrafter, ME Fluid Assembler
extracells:ecbaseblock, ME Fluid Interface
extracells:fluidfiller, ME Fluid Auto Filler
extracells:hardmedrive, Blast resistant ME Drive
extracells:vibrantchamberfluid, Fluid Vibration Chamber
mekanism:MultipartTransmitter:0, Basic Universal Cable
mekanism:MultipartTransmitter:1, Advanced Universal Cable
mekanism:MultipartTransmitter:2, Elite Universal Cable
mekanism:MultipartTransmitter:3, Ultimate Universal Cable
mekanism:MultipartTransmitter:4, Basic Mechanical Pipe
mekanism:MultipartTransmitter:5, Advanced Mechanical Pipe
mekanism:MultipartTransmitter:6, Elite Mechanical Pipe
mekanism:MultipartTransmitter:7, Ultimate Mechanical Pipe
mekanism:MultipartTransmitter:8, Basic Pressurized Tube
mekanism:MultipartTransmitter:9, Advanced Pressurized Tube
mekanism:MultipartTransmitter:10, Elite Pressurized Tube
mekanism:MultipartTransmitter:11, Ultimate Pressurized Tube
mekanism:MultipartTransmitter:12, Basic Logistical Transporter
mekanism:MultipartTransmitter:13, Advanced Logistical Transporter
mekanism:MultipartTransmitter:14, Elite Logistical Transporter
mekanism:MultipartTransmitter:15, Ultimate Logistical Transporter
mekanism:MultipartTransmitter:16, Restrictive Transporter
mekanism:MultipartTransmitter:17, Diversion Transporter
mekanism:MultipartTransmitter:18, Basic Thermodynamic Conductor
mekanism:MultipartTransmitter:19, Advanced Thermodynamic Conductor
mekanism:MultipartTransmitter:20, Elite Thermodynamic Conductor
mekanism:MultipartTransmitter:21, Ultimate Thermodynamic Conductor
mekanism:ElectricBow, Electric Bow
mekanism:Dust:0, Iron Dust
mekanism:Dust:1, Gold Dust
mekanism:Dust:2, Osmium Dust
mekanism:Dust:3, Copper Dust
mekanism:Dust:4, Tin Dust
mekanism:Dust:5, Silver Dust
mekanism:Dust:6, Lead Dust
mekanism:Ingot:0, Refined Obsidian Ingot
mekanism:Ingot:1, Osmium Ingot
mekanism:Ingot:2, Bronze Ingot
mekanism:Ingot:3, Glowstone Ingot
mekanism:Ingot:4, Steel Ingot
mekanism:Ingot:5, Copper Ingot
mekanism:Ingot:6, Tin Ingot
mekanism:EnergyTablet, Energy Tablet
mekanism:SpeedUpgrade, Speed Upgrade
mekanism:EnergyUpgrade, Energy Upgrade
mekanism:FilterUpgrade, Filter Upgrade
mekanism:MufflingUpgrade, Muffling Upgrade
mekanism:GasUpgrade, Gas Upgrade
mekanism:AnchorUpgrade, Anchor Upgrade
mekanism:Robit, Robit
mekanism:AtomicDisassembler, Atomic Disassembler
mekanism:EnrichedAlloy, Enriched Alloy
mekanism:ReinforcedAlloy, Reinforced Alloy
mekanism:AtomicAlloy, Atomic Alloy
mekanism:ItemProxy, item.ItemProxy.name
mekanism:ControlCircuit:0, Basic Control Circuit
mekanism:ControlCircuit:1, Advanced Control Circuit
mekanism:ControlCircuit:2, Elite Control Circuit
mekanism:ControlCircuit:3, Ultimate Control Circuit
mekanism:EnrichedIron, Enriched Iron
mekanism:CompressedCarbon, Compressed Carbon
mekanism:CompressedRedstone, Compressed Redstone
mekanism:CompressedDiamond, Compressed Diamond
mekanism:CompressedObsidian, Compressed Obsidian
mekanism:PortableTeleporter, Portable Teleporter
mekanism:TeleportationCore, Teleportation Core
mekanism:Clump:0, Iron Clump
mekanism:Clump:1, Gold Clump
mekanism:Clump:2, Osmium Clump
mekanism:Clump:3, Copper Clump
mekanism:Clump:4, Tin Clump
mekanism:Clump:5, Silver Clump
mekanism:Clump:6, Lead Clump
mekanism:DirtyDust:0, Dirty Iron Dust
mekanism:DirtyDust:1, Dirty Gold Dust
mekanism:DirtyDust:2, Dirty Osmium Dust
mekanism:DirtyDust:3, Dirty Copper Dust
mekanism:DirtyDust:4, Dirty Tin Dust
mekanism:DirtyDust:5, Dirty Silver Dust
mekanism:DirtyDust:6, Dirty Lead Dust
mekanism:Configurator, Configurator
mekanism:NetworkReader, Network Reader
mekanism:WalkieTalkie, Walkie-Talkie
mekanism:Jetpack, Jetpack
mekanism:Dictionary, Dictionary
mekanism:GasMask, Gas Mask
mekanism:ScubaTank, Scuba Tank
mekanism:Balloon:0, §8Black Balloon
mekanism:Balloon:1, §cRed Balloon
mekanism:Balloon:2, §2Green Balloon
mekanism:Balloon:3, §6Brown Balloon
mekanism:Balloon:4, §1Blue Balloon
mekanism:Balloon:5, §5Purple Balloon
mekanism:Balloon:6, §3Cyan Balloon
mekanism:Balloon:7, §7Light Grey Balloon
mekanism:Balloon:8, §8Grey Balloon
mekanism:Balloon:9, §dPink Balloon
mekanism:Balloon:10, §aLime Balloon
mekanism:Balloon:11, §eYellow Balloon
mekanism:Balloon:12, §9Light Blue Balloon
mekanism:Balloon:13, §dMagenta Balloon
mekanism:Balloon:14, §6Orange Balloon
mekanism:Balloon:15, §fWhite Balloon
mekanism:Shard:0, Iron Shard
mekanism:Shard:1, Gold Shard
mekanism:Shard:2, Osmium Shard
mekanism:Shard:3, Copper Shard
mekanism:Shard:4, Tin Shard
mekanism:Shard:5, Silver Shard
mekanism:Shard:6, Lead Shard
mekanism:ElectrolyticCore, Electrolytic Core
mekanism:Sawdust, Sawdust
mekanism:Salt, Salt
mekanism:Crystal:0, Iron Crystal
mekanism:Crystal:1, Gold Crystal
mekanism:Crystal:2, Osmium Crystal
mekanism:Crystal:3, Copper Crystal
mekanism:Crystal:4, Tin Crystal
mekanism:Crystal:5, Silver Crystal
mekanism:Crystal:6, Lead Crystal
mekanism:FreeRunners, Free Runners
mekanism:ArmoredJetpack, Armored Jetpack
mekanism:ConfigurationCard, Configuration Card
mekanism:CraftingFormula, Crafting Formula
mekanism:SeismicReader, Seismic Reader
mekanism:Substrate, Substrate
mekanism:Polyethene:0, HDPE Pellet
mekanism:Polyethene:1, HDPE Rod
mekanism:Polyethene:2, HDPE Sheet
mekanism:Polyethene:3, PlaStick
mekanism:BioFuel, Bio Fuel
mekanism:GlowPanel:0, §8Black Glow Panel
mekanism:GlowPanel:1, §cRed Glow Panel
mekanism:GlowPanel:2, §2Green Glow Panel
mekanism:GlowPanel:3, §6Brown Glow Panel
mekanism:GlowPanel:4, §1Blue Glow Panel
mekanism:GlowPanel:5, §5Purple Glow Panel
mekanism:GlowPanel:6, §3Cyan Glow Panel
mekanism:GlowPanel:7, §7Light Grey Glow Panel
mekanism:GlowPanel:8, §8Grey Glow Panel
mekanism:GlowPanel:9, §dPink Glow Panel
mekanism:GlowPanel:10, §aLime Glow Panel
mekanism:GlowPanel:11, §eYellow Glow Panel
mekanism:GlowPanel:12, §9Light Blue Glow Panel
mekanism:GlowPanel:13, §dMagenta Glow Panel
mekanism:GlowPanel:14, §6Orange Glow Panel
mekanism:GlowPanel:15, §fWhite Glow Panel
mekanism:Flamethrower, Flamethrower
mekanism:GaugeDropper, Gauge Dropper
mekanism:TierInstaller:0, Basic Tier Installer
mekanism:TierInstaller:1, Advanced Tier Installer
mekanism:TierInstaller:2, Elite Tier Installer
mekanism:TierInstaller:3, Ultimate Tier Installer
mekanism:OtherDust:0, Diamond Dust
mekanism:OtherDust:1, Steel Dust
mekanism:OtherDust:3, Sulfur Dust
mekanism:OtherDust:4, Lithium Dust
mekanism:OtherDust:5, Refined Obsidian Dust
mekanism:OtherDust:6, Obsidian Dust
mekanism:BasicBlock:0, Osmium Block
mekanism:BasicBlock:1, Bronze Block
mekanism:BasicBlock:2, Refined Obsidian
mekanism:BasicBlock:3, Charcoal Block
mekanism:BasicBlock:4, Refined Glowstone
mekanism:BasicBlock:5, Steel Block
mekanism:BasicBlock:6, Basic Bin
mekanism:BasicBlock:6, Advanced Bin
mekanism:BasicBlock:6, Elite Bin
mekanism:BasicBlock:6, Ultimate Bin
mekanism:BasicBlock:6, Creative Bin
mekanism:BasicBlock:7, Teleporter Frame
mekanism:BasicBlock:8, Steel Casing
mekanism:BasicBlock:9, Dynamic Tank
mekanism:BasicBlock:10, Structural Glass
mekanism:BasicBlock:11, Dynamic Valve
mekanism:BasicBlock:12, Copper Block
mekanism:BasicBlock:13, Tin Block
mekanism:BasicBlock:14, Thermal Evaporation Controller
mekanism:BasicBlock:15, Thermal Evaporation Valve
mekanism:BasicBlock2:0, Thermal Evaporation Block
mekanism:BasicBlock2:1, Induction Casing
mekanism:BasicBlock2:2, Induction Port
mekanism:BasicBlock2:3, Basic Induction Cell
mekanism:BasicBlock2:3, Advanced Induction Cell
mekanism:BasicBlock2:3, Elite Induction Cell
mekanism:BasicBlock2:3, Ultimate Induction Cell
mekanism:BasicBlock2:4, Basic Induction Provider
mekanism:BasicBlock2:4, Advanced Induction Provider
mekanism:BasicBlock2:4, Elite Induction Provider
mekanism:BasicBlock2:4, Ultimate Induction Provider
mekanism:BasicBlock2:5, Superheating Element
mekanism:BasicBlock2:6, Pressure Disperser
mekanism:BasicBlock2:7, Boiler Casing
mekanism:BasicBlock2:8, Boiler Valve
mekanism:BasicBlock2:9, Security Desk
mekanism:OreBlock:0, Osmium Ore
mekanism:OreBlock:1, Copper Ore
mekanism:OreBlock:2, Tin Ore
mekanism:EnergyCube:0, Basic Energy Cube
